f1_db,f2_db,f3_db,angle
3.53,8.86,10.25,-11.5
3.17,8.27,10.22,-11.45
2.82,7.69,10.19,-11.4
2.47,7.14,10.19,-11.35
2.13,6.62,10.19,-11.3
1.79,6.1,10.22,-11.25
1.46,5.61,10.25,-11.2
1.13,5.13,10.31,-11.15
0.8,4.67,10.38,-11.1
0.48,4.21,10.32,-11.05
0.16,3.77,9.63,-11.0
0.16,3.34,8.96,-10.95
0.47,2.92,8.33,-10.9
0.79,2.51,7.72,-10.85
1.1,2.1,7.13,-10.8
1.41,1.7,6.56,-10.75
1.73,1.31,6.0,-10.7
2.04,0.92,5.46,-10.65
2.36,0.53,4.94,-10.6
2.67,0.15,4.42,-10.55
2.99,0.22,3.92,-10.5
3.31,0.6,3.43,-10.45
3.63,0.97,2.94,-10.4
3.79,1.34,2.46,-10.35
3.51,1.71,1.99,-10.3
3.24,2.08,1.52,-10.25
2.97,2.45,1.05,-10.2
2.71,2.83,0.59,-10.15
2.46,3.2,0.13,-10.1
2.21,3.58,0.33,-10.05
1.96,3.96,0.79,-10.0
1.71,4.35,1.26,-9.95
1.47,4.74,1.72,-9.9
1.23,4.97,2.19,-9.85
1.0,4.63,2.67,-9.8
0.76,4.3,3.14,-9.75
0.53,3.97,3.63,-9.7
0.29,3.66,4.13,-9.65
0.06,3.35,4.63,-9.6
0.17,3.05,5.15,-9.55
0.41,2.75,5.67,-9.5
0.64,2.46,6.22,-9.45
0.87,2.17,6.78,-9.4
1.11,1.89,6.37,-9.35
1.35,1.61,5.91,-9.3
1.58,1.34,5.46,-9.25
1.82,1.06,5.03,-9.2
2.06,0.79,4.61,-9.15
2.31,0.52,4.2,-9.1
2.56,0.25,3.8,-9.05
2.81,0.02,3.41,-9.0
3.06,0.29,3.03,-8.95
3.32,0.56,2.66,-8.9
3.58,0.83,2.29,-8.85
3.85,1.1,1.92,-8.8
3.73,1.37,1.57,-8.75
3.48,1.65,1.21,-8.7
3.22,1.92,0.86,-8.65
2.98,2.2,0.51,-8.6
2.73,2.49,0.16,-8.55
2.49,2.77,0.18,-8.5
2.24,3.07,0.53,-8.45
2.0,3.36,0.88,-8.4
1.76,3.66,1.22,-8.35
1.53,3.97,1.57,-8.3
1.29,4.29,1.92,-8.25
1.05,4.46,2.28,-8.2
0.82,4.2,2.63,-8.15
0.58,3.94,2.99,-8.1
0.35,3.68,3.36,-8.05
0.11,3.42,3.73,-8.0
0.13,3.16,4.11,-7.95
0.36,2.9,4.5,-7.9
0.6,2.64,4.9,-7.85
0.84,2.38,5.3,-7.8
1.09,2.12,5.72,-7.75
1.33,1.86,6.14,-7.7
1.58,1.6,5.77,-7.65
1.83,1.34,5.39,-7.6
2.08,1.08,5.03,-7.55
2.33,0.81,4.67,-7.5
2.59,0.54,4.32,-7.45
2.86,0.28,3.96,-7.4
3.12,0.0,3.61,-7.35
3.29,0.27,3.27,-7.3
3.04,0.55,2.92,-7.25
2.79,0.83,2.58,-7.2
2.54,1.11,2.24,-7.15
2.3,1.4,1.89,-7.1
2.06,1.69,1.55,-7.05
1.82,1.98,1.21,-7.0
1.59,2.29,0.86,-6.95
1.35,2.59,0.51,-6.9
1.12,2.9,0.16,-6.85
0.89,3.22,0.2,-6.8
0.66,3.55,0.55,-6.75
0.43,3.88,0.92,-6.7
0.21,3.73,1.29,-6.65
0.02,3.42,1.66,-6.6
0.25,3.12,2.05,-6.55
0.48,2.83,2.44,-6.5
0.71,2.54,2.84,-6.45
0.94,2.26,3.25,-6.4
1.17,1.98,3.67,-6.35
1.41,1.71,4.1,-6.3
1.64,1.44,4.55,-6.25
1.88,1.17,4.88,-6.2
2.12,0.91,4.51,-6.15
2.37,0.65,4.14,-6.1
2.62,0.39,3.79,-6.05
2.87,0.13,3.44,-6.0
3.13,0.13,3.1,-5.95
3.39,0.38,2.76,-5.9
3.13,0.64,2.44,-5.85
2.85,0.89,2.12,-5.8
2.58,1.15,1.8,-5.75
2.31,1.41,1.48,-5.7
2.05,1.67,1.17,-5.65
1.79,1.93,0.87,-5.6
