freq(GHz),Ground truth,Naive-MLP prediction,FF-MLP prediction
24.0,0.9406,0.9464,0.9408
24.02,0.9425,0.9476,0.9427
24.04,0.9444,0.9504,0.9446
24.06,0.9462,0.9517,0.9464
24.08,0.948,0.9534,0.9482
24.1,0.9497,0.9542,0.9499
24.12,0.9514,0.956,0.9516
24.14,0.953,0.9581,0.9532
24.16,0.9545,0.9598,0.9547
24.18,0.956,0.9608,0.9562
24.2,0.9575,0.9617,0.9577
24.22,0.9589,0.963,0.9591
24.24,0.9602,0.9644,0.9604
24.26,0.9615,0.9656,0.9616
24.28,0.9627,0.9671,0.9628
24.3,0.9638,0.9679,0.964
24.32,0.9649,0.9685,0.965
24.34,0.9659,0.9694,0.966
24.36,0.9668,0.97,0.967
24.38,0.9677,0.9716,0.9678
24.4,0.9685,0.9716,0.9686
24.42,0.9693,0.972,0.9694
24.44,0.97,0.9731,0.97
24.46,0.9706,0.9726,0.9706
24.48,0.9711,0.974,0.9712
24.5,0.9716,0.9747,0.9716
24.52,0.972,0.9748,0.972
24.54,0.9724,0.9748,0.9723
24.56,0.9726,0.9752,0.9726
24.58,0.9728,0.9749,0.9728
24.6,0.973,0.9751,0.9729
24.62,0.973,0.975,0.9729
24.64,0.973,0.9751,0.9729
24.66,0.9729,0.9743,0.9729
24.68,0.9728,0.9745,0.9727
24.7,0.9726,0.9747,0.9725
24.72,0.9723,0.9748,0.9722
24.74,0.9719,0.9736,0.9719
24.76,0.9715,0.9734,0.9714
24.78,0.971,0.9724,0.971
24.8,0.9705,0.9726,0.9704
24.82,0.9699,0.9719,0.9698
24.84,0.9692,0.9715,0.9691
24.86,0.9685,0.9704,0.9684
24.88,0.9676,0.9702,0.9676
24.9,0.9668,0.9689,0.9667
24.92,0.9659,0.9682,0.9658
24.94,0.9649,0.9674,0.9649
24.96,0.9638,0.9654,0.9638
24.98,0.9627,0.9651,0.9627
25.0,0.9616,0.9636,0.9616
25.02,0.9604,0.9631,0.9604
25.04,0.9591,0.9619,0.9592
25.06,0.9578,0.9602,0.9579
25.08,0.9564,0.9591,0.9565
25.1,0.955,0.9581,0.9552
25.12,0.9535,0.9566,0.9537
25.14,0.952,0.9545,0.9522
25.16,0.9505,0.9539,0.9507
25.18,0.9489,0.9526,0.9492
25.2,0.9472,0.9507,0.9476
25.22,0.9455,0.9488,0.9459
25.24,0.9438,0.9473,0.9442
25.26,0.942,0.946,0.9425
25.28,0.9402,0.9436,0.9408
25.3,0.9384,0.9422,0.9389
25.32,0.9365,0.9402,0.9371
25.34,0.9346,0.9385,0.9353
25.36,0.9327,0.9367,0.9335
25.38,0.9308,0.9357,0.9315
25.4,0.9288,0.9334,0.9296
25.42,0.9268,0.9313,0.9276
25.44,0.9247,0.9293,0.9257
25.46,0.9227,0.9274,0.9236
25.48,0.9206,0.9251,0.9216
25.5,0.9185,0.9231,0.9196
25.52,0.9164,0.9208,0.9175
25.54,0.9142,0.9194,0.9155
25.56,0.9121,0.9166,0.9133
25.58,0.9099,0.9149,0.9112
25.6,0.9077,0.9128,0.9091
25.62,0.9055,0.9106,0.907
25.64,0.9033,0.9085,0.9048
25.66,0.9011,0.9069,0.9027
25.68,0.8989,0.9044,0.9005
25.7,0.8967,0.9017,0.8984
25.72,0.8944,0.9,0.8962
25.74,0.8922,0.8977,0.894
25.76,0.89,0.8952,0.8918
25.78,0.8877,0.8931,0.8897
25.8,0.8855,0.8908,0.8874
25.82,0.8832,0.8884,0.8853
25.84,0.881,0.8861,0.8831
25.86,0.8788,0.884,0.8809
25.88,0.8765,0.8819,0.8788
25.9,0.8743,0.8793,0.8766
25.92,0.8721,0.8772,0.8744
25.94,0.8698,0.8744,0.8722
25.96,0.8676,0.8719,0.8701
25.98,0.8654,0.8706,0.8679
26.0,0.8632,0.8688,0.8658
26.02,0.8611,0.8657,0.8637
26.04,0.8589,0.864,0.8615
26.06,0.8567,0.8612,0.8594
26.08,0.8546,0.8593,0.8573
26.1,0.8524,0.8573,0.8553
26.12,0.8503,0.8552,0.8532
26.14,0.8482,0.8527,0.8511
26.16,0.8461,0.8514,0.8491
26.18,0.844,0.8481,0.8471
26.2,0.842,0.8464,0.845
26.22,0.8399,0.8444,0.843
26.24,0.8379,0.8428,0.841
26.26,0.8359,0.8408,0.8391
26.28,0.8339,0.8381,0.8371
26.3,0.8319,0.8361,0.8352
26.32,0.83,0.8348,0.8333
26.34,0.8281,0.832,0.8314
26.36,0.8262,0.83,0.8295
26.38,0.8243,0.828,0.8277
26.4,0.8224,0.8264,0.8258
26.42,0.8206,0.8248,0.8241
26.44,0.8187,0.8226,0.8223
26.46,0.8169,0.8206,0.8206
26.48,0.8152,0.8181,0.8188
26.5,0.8134,0.8164,0.8171
26.52,0.8117,0.8153,0.8154
26.54,0.81,0.8132,0.8137
26.56,0.8083,0.8112,0.8121
26.58,0.8067,0.8096,0.8104
26.6,0.805,0.8073,0.8088
26.62,0.8034,0.806,0.8073
26.64,0.8019,0.8046,0.8057
26.66,0.8003,0.8033,0.8042
26.68,0.7988,0.8016,0.8027
26.7,0.7973,0.7997,0.8012
26.72,0.7958,0.7984,0.7998
26.74,0.7944,0.7964,0.7983
26.76,0.793,0.7951,0.7969
26.78,0.7916,0.7932,0.7956
26.8,0.7902,0.7916,0.7942
26.82,0.7889,0.7911,0.7929
26.84,0.7876,0.789,0.7916
26.86,0.7863,0.7872,0.7904
26.88,0.7851,0.7866,0.7891
26.9,0.7839,0.7854,0.7879
26.92,0.7827,0.7829,0.7868
26.94,0.7815,0.7822,0.7856
26.96,0.7804,0.7804,0.7845
26.98,0.7793,0.7797,0.7834
27.0,0.7782,0.7783,0.7823
27.02,0.7772,0.7774,0.7813
27.04,0.7762,0.7755,0.7803
27.06,0.7752,0.7747,0.7793
27.08,0.7743,0.774,0.7783
27.1,0.7733,0.7729,0.7774
27.12,0.7724,0.7715,0.7765
27.14,0.7716,0.7706,0.7756
27.16,0.7707,0.7698,0.7748
27.18,0.7699,0.7678,0.7739
27.2,0.7692,0.7675,0.7732
27.22,0.7684,0.7665,0.7724
27.24,0.7677,0.7651,0.7717
27.26,0.767,0.7643,0.771
27.28,0.7664,0.7643,0.7703
27.3,0.7658,0.7634,0.7696
27.32,0.7652,0.7625,0.769
27.34,0.7646,0.7607,0.7684
27.36,0.7641,0.7603,0.7679
27.38,0.7636,0.7603,0.7673
27.4,0.7631,0.7591,0.7668
27.42,0.7627,0.7586,0.7664
27.44,0.7623,0.7577,0.7659
