freq(GHz),Ground truth,Naive-MLP prediction,FF-MLP prediction
24.0,-3.1353,-0.0814,3.068
24.02,3.1365,-0.0866,3.0575
24.04,3.1252,-0.1025,3.0469
24.06,3.1138,-0.1234,3.0363
24.08,3.1023,-0.1247,3.0257
24.1,3.0909,-0.136,3.0151
24.12,3.0793,-0.1534,3.0045
24.14,3.0678,-0.1568,2.9938
24.16,3.0562,-0.1681,2.9831
24.18,3.0446,-0.1919,2.9725
24.2,3.0329,-0.2055,2.9619
24.22,3.0212,-0.2148,2.9512
24.24,3.0095,-0.2201,2.9405
24.26,2.9978,-0.2393,2.9299
24.28,2.986,-0.2407,2.9192
24.3,2.9742,-0.2614,2.9085
24.32,2.9624,-0.2663,2.8978
24.34,2.9505,-0.2837,2.8871
24.36,2.9386,-0.2958,2.8764
24.38,2.9268,-0.3008,2.8657
24.4,2.9149,-0.3161,2.855
24.42,2.9029,-0.3283,2.8442
24.44,2.891,-0.3561,2.8335
24.46,2.8791,-0.3585,2.8227
24.48,2.8671,-0.3625,2.8119
24.5,2.8551,-0.3766,2.8011
24.52,2.8432,-0.3841,2.7903
24.54,2.8312,-0.3958,2.7795
24.56,2.8192,-0.4152,2.7687
24.58,2.8072,-0.4258,2.7578
24.6,2.7953,-0.4353,2.747
24.62,2.7833,-0.4457,2.7361
24.64,2.7713,-0.4571,2.7252
24.66,2.7593,-0.4759,2.7143
24.68,2.7474,-0.48,2.7034
24.7,2.7354,-0.4927,2.6925
24.72,2.7235,-0.4996,2.6816
24.74,2.7115,-0.5158,2.6706
24.76,2.6996,-0.5236,2.6597
24.78,2.6877,-0.5473,2.6487
24.8,2.6758,-0.542,2.6378
24.82,2.664,-0.5657,2.6268
24.84,2.6521,-0.568,2.6158
24.86,2.6403,-0.5861,2.6048
24.88,2.6285,-0.5969,2.5938
24.9,2.6168,-0.6137,2.5829
24.92,2.605,-0.6202,2.5719
24.94,2.5933,-0.6317,2.5609
24.96,2.5816,-0.6432,2.5499
24.98,2.5699,-0.6477,2.5388
25.0,2.5583,-0.6641,2.5278
25.02,2.5467,-0.669,2.5168
25.04,2.5352,-0.694,2.5058
25.06,2.5237,-0.6966,2.4948
25.08,2.5122,-0.7058,2.4838
25.1,2.5007,-0.7264,2.4728
25.12,2.4893,-0.7382,2.4618
25.14,2.478,-0.747,2.4508
25.16,2.4666,-0.7553,2.4399
25.18,2.4554,-0.7599,2.4289
25.2,2.4441,-0.7717,2.4179
25.22,2.4329,-0.7903,2.407
25.24,2.4218,-0.8042,2.396
25.26,2.4107,-0.8041,2.3851
25.28,2.3996,-0.8252,2.3741
25.3,2.3886,-0.8425,2.3632
25.32,2.3777,-0.8386,2.3524
25.34,2.3668,-0.8572,2.3415
25.36,2.3559,-0.8567,2.3306
25.38,2.3451,-0.8765,2.3198
25.4,2.3343,-0.8853,2.3089
25.42,2.3236,-0.9047,2.2981
25.44,2.313,-0.9001,2.2873
25.46,2.3024,-0.9242,2.2766
25.48,2.2918,-0.9327,2.2658
25.5,2.2813,-0.9358,2.2551
25.52,2.2708,-0.9481,2.2444
25.54,2.2604,-0.9598,2.2337
25.56,2.2501,-0.9675,2.2231
25.58,2.2398,-0.9834,2.2124
25.6,2.2296,-0.9827,2.2018
25.62,2.2194,-0.9919,2.1912
25.64,2.2092,-1.0088,2.1807
25.66,2.1992,-1.0209,2.1702
25.68,2.1891,-1.0222,2.1597
25.7,2.1791,-1.0466,2.1493
25.72,2.1692,-1.0471,2.1389
25.74,2.1593,-1.0491,2.1285
25.76,2.1495,-1.068,2.1182
25.78,2.1398,-1.07,2.1078
25.8,2.13,-1.0843,2.0976
25.82,2.1204,-1.0906,2.0873
25.84,2.1108,-1.1058,2.0771
25.86,2.1012,-1.1105,2.067
25.88,2.0917,-1.1281,2.0568
25.9,2.0822,-1.1257,2.0467
25.92,2.0728,-1.1424,2.0367
25.94,2.0635,-1.1457,2.0267
25.96,2.0542,-1.1582,2.0167
25.98,2.0449,-1.1705,2.0068
26.0,2.0357,-1.1691,1.9969
26.02,2.0265,-1.1851,1.987
26.04,2.0174,-1.202,1.9772
26.06,2.0084,-1.1966,1.9675
26.08,1.9993,-1.2154,1.9578
26.1,1.9904,-1.2215,1.9481
26.12,1.9814,-1.2313,1.9385
26.14,1.9726,-1.2398,1.9289
26.16,1.9637,-1.2529,1.9194
26.18,1.9549,-1.2534,1.9099
26.2,1.9462,-1.2694,1.9004
26.22,1.9375,-1.2756,1.891
26.24,1.9288,-1.2823,1.8817
26.26,1.9202,-1.2907,1.8724
26.28,1.9116,-1.2973,1.8631
26.3,1.9031,-1.3012,1.8539
26.32,1.8946,-1.3143,1.8448
26.34,1.8861,-1.3272,1.8357
26.36,1.8777,-1.3362,1.8265
26.38,1.8693,-1.3562,1.8176
26.4,1.861,-1.3541,1.8086
26.42,1.8527,-1.3621,1.7997
26.44,1.8444,-1.3599,1.7908
26.46,1.8361,-1.3758,1.782
26.48,1.8279,-1.387,1.7732
26.5,1.8198,-1.3792,1.7645
26.52,1.8116,-1.3945,1.7558
26.54,1.8035,-1.4014,1.7472
26.56,1.7955,-1.4262,1.7386
26.58,1.7874,-1.4269,1.7301
26.6,1.7794,-1.4369,1.7216
26.62,1.7714,-1.4497,1.7132
26.64,1.7635,-1.4407,1.7048
26.66,1.7556,-1.4604,1.6965
26.68,1.7477,-1.4623,1.6882
26.7,1.7398,-1.4632,1.68
26.72,1.732,-1.4749,1.6718
26.74,1.7242,-1.4858,1.6636
26.76,1.7164,-1.5018,1.6556
26.78,1.7086,-1.5033,1.6475
26.8,1.7009,-1.5094,1.6396
26.82,1.6932,-1.5085,1.6316
26.84,1.6855,-1.5356,1.6237
26.86,1.6778,-1.5265,1.6159
26.88,1.6702,-1.5353,1.6081
26.9,1.6625,-1.5472,1.6003
26.92,1.6549,-1.5582,1.5926
26.94,1.6473,-1.5442,1.585
26.96,1.6398,-1.5775,1.5774
26.98,1.6322,-1.5767,1.5698
27.0,1.6247,-1.5873,1.5623
27.02,1.6172,-1.5851,1.5548
27.04,1.6096,-1.5961,1.5474
27.06,1.6021,-1.6036,1.54
27.08,1.5947,-1.6025,1.5327
27.1,1.5872,-1.6098,1.5254
27.12,1.5797,-1.6287,1.5181
27.14,1.5723,-1.6295,1.5109
27.16,1.5649,-1.6322,1.5037
27.18,1.5575,-1.643,1.4966
27.2,1.55,-1.6573,1.4895
27.22,1.5426,-1.6553,1.4824
27.24,1.5352,-1.6668,1.4754
27.26,1.5279,-1.6762,1.4684
27.28,1.5205,-1.6733,1.4614
27.3,1.5131,-1.6927,1.4545
27.32,1.5057,-1.691,1.4476
27.34,1.4984,-1.7039,1.4407
27.36,1.491,-1.7114,1.4339
27.38,1.4836,-1.7143,1.4271
27.4,1.4763,-1.7138,1.4203
27.42,1.4689,-1.7324,1.4135
27.44,1.4616,-1.7397,1.4068
27.46,1.4542,-1.751,1.4
27.48,1.4469,-1.7448,1.3933
27.5,1.4395,-1.7716,1.3867
27.52,1.4321,-1.7628,1.38
27.54,1.4248,-1.7751,1.3734
27.56,1.4174,-1.7875,1.3667
27.58,1.41,-1.8003,1.3601
27.6,1.4027,-1.805,1.3535
27.62,1.3953,-1.7996,1.3469
27.64,1.3879,-1.8087,1.3404
27.66,1.3805,-1.8233,1.3338
27.68,1.3731,-1.8175,1.3272
27.7,1.3657,-1.8222,1.3206
27.72,1.3583,-1.8375,1.3141
27.74,1.3508,-1.8503,1.3075
27.76,1.3434,-1.8495,1.301
27.78,1.3359,-1.8568,1.2944
27.8,1.3285,-1.869,1.2879
27.82,1.321,-1.8758,1.2813
27.84,1.3135,-1.8789,1.2748
27.86,1.306,-1.8855,1.2682
27.88,1.2985,-1.899,1.2616
27.9,1.2909,-1.9001,1.255
27.92,1.2834,-1.8964,1.2485
27.94,1.2758,-1.9208,1.2418
27.96,1.2682,-1.9274,1.2352
27.98,1.2606,-1.932,1.2286
28.0,1.2529,-1.9257,1.222
28.02,1.2453,-1.947,1.2153
28.04,1.2376,-1.9538,1.2086
28.06,1.2299,-1.9568,1.2019
28.08,1.2222,-1.9562,1.1953
28.1,1.2144,-1.9688,1.1885
28.12,1.2066,-1.9766,1.1818
28.14,1.1988,-1.9959,1.175
28.16,1.191,-1.9992,1.1682
28.18,1.1832,-2.007,1.1613
28.2,1.1753,-2.0192,1.1545
28.22,1.1674,-2.022,1.1476
28.24,1.1594,-2.0202,1.1407
28.26,1.1514,-2.0411,1.1337
28.28,1.1434,-2.0453,1.1267
28.3,1.1354,-2.0544,1.1197
28.32,1.1273,-2.0663,1.1126
28.34,1.1192,-2.0655,1.1055
28.36,1.1111,-2.0771,1.0984
28.38,1.1029,-2.0832,1.0912
28.4,1.0947,-2.0873,1.084
28.42,1.0864,-2.1106,1.0767
28.44,1.0781,-2.102,1.0694
28.46,1.0698,-2.1042,1.062
28.48,1.0614,-2.1244,1.0546
28.5,1.053,-2.1285,1.0471
28.52,1.0445,-2.147,1.0396
28.54,1.036,-2.1533,1.032
28.56,1.0275,-2.1527,1.0244
28.58,1.0189,-2.1623,1.0167
28.6,1.0103,-2.1713,1.0089
28.62,1.0016,-2.1808,1.0011
28.64,0.9929,-2.1931,0.9932
28.66,0.9841,-2.1985,0.9853
28.68,0.9753,-2.1985,0.9773
28.7,0.9664,-2.2093,0.9692
28.72,0.9575,-2.2332,0.9611
28.74,0.9485,-2.2427,0.9529
28.76,0.9395,-2.2587,0.9446
28.78,0.9304,-2.2604,0.9362
28.8,0.9212,-2.2594,0.9278
28.82,0.912,-2.2764,0.9193
28.84,0.9028,-2.2724,0.9108
28.86,0.8935,-2.2902,0.9021
28.88,0.8841,-2.31,0.8934
28.9,0.8747,-2.3123,0.8846
28.92,0.8652,-2.3213,0.8757
28.94,0.8556,-2.322,0.8667
28.96,0.846,-2.3313,0.8577
28.98,0.8364,-2.3515,0.8486
29.0,0.8266,-2.3572,0.8394
29.02,0.8168,-2.3672,0.8301
29.04,0.807,-2.3828,0.8207
29.06,0.797,-2.3847,0.8112
29.08,0.787,-2.3853,0.8017
29.1,0.777,-2.4075,0.7921
29.12,0.7668,-2.4156,0.7824
29.14,0.7566,-2.4332,0.7726
29.16,0.7464,-2.4383,0.7627
29.18,0.736,-2.4469,0.7527
29.2,0.7256,-2.4647,0.7427
29.22,0.7151,-2.4668,0.7325
29.24,0.7046,-2.4847,0.7223
29.26,0.6939,-2.4838,0.712
29.28,0.6832,-2.5052,0.7015
29.3,0.6725,-2.5233,0.6911
29.32,0.6616,-2.5245,0.6805
29.34,0.6507,-2.531,0.6698
29.36,0.6397,-2.5517,0.6591
29.38,0.6286,-2.5574,0.6482
29.4,0.6174,-2.5774,0.6373
29.42,0.6062,-2.583,0.6263
