gt1,gt2,pred1,pred2
10.25,11.75,9.839999999999998,10.799999999999999
10.12,11.62,9.36,10.799999999999999
10.07,11.57,9.36,10.799999999999999
10.0,11.5,9.36,10.799999999999999
9.93,11.43,9.36,10.799999999999999
9.87,11.37,9.36,10.799999999999999
9.75,11.25,9.36,10.799999999999999
9.62,11.12,9.36,10.799999999999999
9.57,11.07,9.36,10.799999999999999
9.5,11.0,9.36,10.799999999999999
9.43,10.93,9.36,10.799999999999999
9.37,10.87,9.36,10.799999999999999
9.25,10.75,9.36,10.799999999999999
9.12,10.62,9.36,10.799999999999999
9.07,10.57,8.88,10.319999999999999
9.0,10.5,8.88,10.319999999999999
8.93,10.43,8.88,10.319999999999999
8.87,10.37,8.88,10.319999999999999
8.75,10.25,8.88,10.319999999999999
8.62,10.12,8.4,9.839999999999998
8.57,10.07,8.4,9.839999999999998
8.5,10.0,8.4,9.839999999999998
8.43,9.93,8.4,9.839999999999998
8.37,9.87,8.4,9.839999999999998
8.25,9.75,8.4,9.839999999999998
8.12,9.62,8.4,9.839999999999998
8.07,9.57,8.4,9.839999999999998
8.0,9.5,8.4,9.839999999999998
7.93,9.43,8.4,9.839999999999998
7.87,9.37,8.4,9.839999999999998
7.75,9.25,7.919999999999999,9.36
7.62,9.12,7.44,8.88
7.57,9.07,7.44,8.88
7.5,9.0,7.44,8.88
7.43,8.93,7.44,8.88
7.37,8.87,7.44,8.88
7.25,8.75,7.44,8.88
7.12,8.62,6.96,8.4
7.07,8.57,6.96,8.4
7.0,8.5,6.96,8.4
6.93,8.43,6.96,8.4
6.87,8.37,6.96,8.4
6.75,8.25,6.96,8.4
6.62,8.12,6.96,8.4
6.57,8.07,6.96,8.4
6.5,8.0,6.96,8.4
6.43,7.93,6.96,8.4
6.37,7.87,6.96,8.4
6.25,7.75,6.96,8.4
6.12,7.62,6.0,7.44
6.07,7.57,6.0,7.44
6.0,7.5,6.0,7.44
5.93,7.43,6.0,7.44
5.87,7.37,6.0,7.44
5.75,7.25,6.0,7.44
5.62,7.12,6.0,7.44
5.57,7.07,5.52,6.96
5.5,7.0,5.04,6.4799999999999995
5.43,6.93,5.04,6.4799999999999995
5.37,6.87,5.04,6.4799999999999995
5.25,6.75,5.04,6.4799999999999995
5.12,6.62,5.04,6.4799999999999995
5.07,6.57,5.04,6.4799999999999995
5.0,6.5,5.04,6.4799999999999995
4.93,6.43,5.04,6.4799999999999995
4.87,6.37,5.04,6.4799999999999995
4.75,6.25,4.56,6.0
4.62,6.12,4.56,6.0
4.57,6.07,4.56,6.0
4.5,6.0,4.56,6.0
4.43,5.93,4.56,6.0
4.37,5.87,4.56,6.0
4.25,5.75,4.08,5.52
4.12,5.62,4.08,5.52
4.07,5.57,4.08,5.52
4.0,5.5,4.08,5.52
3.93,5.43,4.08,5.52
3.87,5.37,4.08,5.52
3.75,5.25,3.5999999999999996,5.04
3.62,5.12,3.5999999999999996,5.04
3.57,5.07,3.5999999999999996,5.04
3.5,5.0,3.5999999999999996,5.04
3.43,4.93,3.5999999999999996,5.04
3.37,4.87,3.5999999999999996,5.04
3.25,4.75,3.5999999999999996,5.04
3.12,4.62,3.1199999999999997,4.56
3.07,4.57,3.1199999999999997,4.56
3.0,4.5,2.64,4.08
2.93,4.43,2.64,4.08
2.87,4.37,2.64,4.08
2.75,4.25,2.64,4.08
2.62,4.12,2.16,3.5999999999999996
2.57,4.07,2.16,3.5999999999999996
2.5,4.0,2.16,3.5999999999999996
2.43,3.93,2.16,3.5999999999999996
2.37,3.87,2.16,3.5999999999999996
2.25,3.75,2.16,3.5999999999999996
2.12,3.62,2.16,3.5999999999999996
2.07,3.57,2.16,3.5999999999999996
2.0,3.5,1.68,3.1199999999999997
1.93,3.43,1.68,3.1199999999999997
1.87,3.37,1.68,3.1199999999999997
1.75,3.25,1.68,3.1199999999999997
1.62,3.12,1.2,2.64
1.57,3.07,1.2,2.64
1.5,3.0,1.2,2.64
1.43,2.93,1.2,2.64
1.37,2.87,1.2,2.64
1.25,2.75,0.7200000000000001,2.16
1.12,2.62,0.7200000000000001,2.16
1.07,2.57,0.7200000000000001,2.16
1.0,2.5,0.7200000000000001,2.16
0.93,2.43,0.7200000000000001,2.16
0.869999999999999,2.37,0.7200000000000001,2.16
0.75,2.25,0.7200000000000001,2.16
0.619999999999999,2.12,0.7200000000000001,2.16
0.57,2.07,0.7200000000000001,2.16
0.5,2.0,0.7200000000000001,2.16
0.43,1.93,0.7200000000000001,2.16
0.369999999999999,1.87,0.7200000000000001,2.16
0.25,1.75,0.24,1.68
0.119999999999999,1.62,0.24,1.68
0.0700000000000003,1.57,0.24,1.68
-0.0,1.5,0.24,1.68
-0.0700000000000003,1.43,0.24,1.68
-0.130000000000001,1.37,0.24,1.68
-0.25,1.25,-0.24,1.2
-0.380000000000001,1.12,-0.24,1.2
-0.43,1.07,-0.24,1.2
-0.5,1.0,-0.24,1.2
-0.57,0.93,-0.24,1.2
-0.630000000000001,0.869999999999999,-0.24,1.2
-0.75,0.75,-0.24,1.2
-0.880000000000001,0.619999999999999,-0.7200000000000001,0.7200000000000001
-0.93,0.57,-0.7200000000000001,0.7200000000000001
-1.0,0.5,-0.7200000000000001,0.7200000000000001
-1.07,0.43,-0.7200000000000001,0.7200000000000001
-1.13,0.369999999999999,-1.68,-0.24
-1.25,0.25,-1.68,-0.24
-1.38,0.119999999999999,-1.68,-0.24
-1.43,0.0700000000000003,-1.68,-0.24
-1.5,-0.0,-1.68,-0.24
-1.57,-0.0700000000000003,-1.68,-0.24
-1.63,-0.130000000000001,-2.16,-0.7200000000000001
-1.75,-0.25,-2.16,-0.7200000000000001
-1.88,-0.380000000000001,-2.16,-0.7200000000000001
-1.93,-0.43,-2.16,-0.7200000000000001
-2.0,-0.5,-2.16,-0.7200000000000001
-2.07,-0.57,-2.16,-0.7200000000000001
-2.13,-0.630000000000001,-2.16,-0.7200000000000001
-2.25,-0.75,-2.16,-0.7200000000000001
-2.38,-0.880000000000001,-2.16,-0.7200000000000001
-2.43,-0.93,-2.16,-0.7200000000000001
-2.5,-1.0,-2.16,-0.7200000000000001
-2.57,-1.07,-2.16,-0.7200000000000001
-2.63,-1.13,-2.16,-0.7200000000000001
-2.75,-1.25,-2.64,-1.2
-2.88,-1.38,-3.1199999999999997,-1.68
-2.93,-1.43,-3.1199999999999997,-1.68
-3.0,-1.5,-3.1199999999999997,-1.68
-3.07,-1.57,-3.1199999999999997,-1.68
-3.13,-1.63,-3.1199999999999997,-1.68
-3.25,-1.75,-3.1199999999999997,-1.68
-3.38,-1.88,-3.1199999999999997,-1.68
-3.43,-1.93,-3.5999999999999996,-2.16
-3.5,-2.0,-3.5999999999999996,-2.16
-3.57,-2.07,-3.5999999999999996,-2.16
-3.63,-2.13,-3.5999999999999996,-2.16
-3.75,-2.25,-3.5999999999999996,-2.16
-3.88,-2.38,-3.5999999999999996,-2.16
-3.93,-2.43,-3.5999999999999996,-2.16
-4.0,-2.5,-4.079999999999999,-2.64
-4.07,-2.57,-4.56,-3.1199999999999997
-4.13,-2.63,-4.56,-3.1199999999999997
