Input Angle,Predicted Angle,Prediction Error
11.02,11.130408,0.11040783
10.73,10.849355,0.1193552
10.7,10.848277,0.14827728
10.23,10.249563,0.019563675
10.1,10.123553,0.023552895
10.0,10.01723,0.017230034
9.8,9.769135,-0.030864716
9.25,9.237321,-0.0126791
9.23,9.1821165,-0.047883034
8.75,8.762136,0.012136459
8.52,8.508603,-0.011397362
8.02,8.080858,0.060857773
7.4,7.408482,0.008481979
6.5,6.480161,-0.01983881
6.0,6.048592,0.04859209
5.3,5.3803396,0.08033943
5.25,5.3282466,0.07824659
5.23,5.2839065,0.05390644
2.6,2.689623,0.08962321
2.52,2.5921483,0.07214832
1.75,1.6223826,-0.12761736
1.5,1.3794504,-0.12054956
1.23,1.1256354,-0.10436463
1.1,1.0383323,-0.06166768
1.0,0.97591037,-0.024089634
0.52,0.59837055,0.07837057
0.25,0.39410213,0.14410213
-1.27,-1.359254,-0.08925402
-1.5,-1.5513779,-0.051377892
-3.25,-3.263851,-0.013850927
-3.27,-3.2846866,-0.0146865845
-3.5,-3.5457706,-0.045770645
-4.5,-4.4080057,0.091994286
-4.6,-4.4975047,0.10249519
-4.77,-4.6314178,0.13858223
-5.25,-5.207951,0.04204893
-5.5,-5.489651,0.010348797
-5.75,-5.7623734,-0.012373447
-6.25,-6.236915,0.013084888
-6.48,-6.4284625,0.051537514
-6.5,-6.4406323,0.059367657
-6.7,-6.63831,0.061689854
-6.75,-6.6478086,0.10219145
-7.0,-6.947579,0.052421093
-7.25,-7.200933,0.04906702
-7.27,-7.226207,0.0437932
-8.5,-8.536075,-0.03607464
-9.27,-9.214246,0.05575466
-10.77,-10.948699,-0.17869854
-11.48,-11.20094,0.2790594
