Input Angle,Predicted Angle,Prediction Error
11.02,11.114925,0.09492493
10.73,10.770182,0.040182114
10.7,10.728498,0.02849865
10.23,10.150649,-0.07935047
10.1,10.004105,-0.09589577
10.0,9.893909,-0.106090546
9.8,9.75281,-0.047190666
9.25,9.20042,-0.04957962
9.23,9.171381,-0.058618546
8.75,8.720661,-0.029338837
8.52,8.48431,-0.035690308
8.02,8.007399,-0.012601852
7.4,7.388494,-0.011506081
6.5,6.477805,-0.022194862
6.0,5.9421225,-0.05787754
5.3,5.3069077,0.006907463
5.25,5.2599525,0.009952545
5.23,5.220974,-0.009026051
2.6,2.5956342,-0.0043656826
2.52,2.5151153,-0.00488472
1.75,1.7565256,0.0065256357
1.5,1.492287,-0.0077129602
1.23,1.1995676,-0.030432463
1.1,1.105997,0.0059969425
1.0,1.0011803,0.0011802912
0.52,0.50475323,-0.015246749
0.25,0.23016289,-0.019837111
-1.27,-1.282303,-0.012302995
-1.5,-1.540145,-0.04014504
-3.25,-3.2471716,0.0028283596
-3.27,-3.286293,-0.016293049
-3.5,-3.5305605,-0.030560493
-4.5,-4.5171523,-0.01715231
-4.6,-4.617484,-0.017484188
-4.77,-4.7560554,0.013944626
-5.25,-5.2169333,0.03306675
-5.5,-5.5014887,-0.0014886856
-5.75,-5.7642837,-0.014283657
-6.25,-6.2867985,-0.036798477
-6.48,-6.4728327,0.0071673393
-6.5,-6.49148,0.008520126
-6.7,-6.670909,0.029090881
-6.75,-6.6809177,0.06908226
-7.0,-6.919033,0.08096695
-7.25,-7.130761,0.11923885
-7.27,-7.1414847,0.12851524
-8.5,-8.485706,0.014293671
-9.27,-9.151029,0.118971825
-10.77,-10.858656,-0.08865547
-11.48,-11.412779,0.06722069
