Input Angle,Predicted Angle,Prediction Error
11.37,11.43518,0.065179825
11.25,11.316828,0.066827774
11.0,11.034344,0.03434372
9.93,9.915564,-0.014436722
9.75,9.706696,-0.043304443
9.25,9.196375,-0.053625107
9.0,8.991316,-0.008684158
8.25,8.371961,0.12196064
8.0,8.084497,0.08449745
7.93,7.955126,0.02512598
7.07,7.0276227,-0.042377472
6.75,6.700219,-0.049780846
6.25,6.352293,0.102293015
6.07,6.22519,0.15518999
5.62,5.7055073,0.08550739
5.5,5.54429,0.044290066
5.37,5.385518,0.0155181885
5.12,5.0878057,-0.032194138
4.93,4.8841724,-0.04582739
4.25,4.2289963,-0.021003723
4.07,4.094922,0.024921894
4.0,3.9922857,-0.0077142715
2.75,2.7790873,0.029087305
2.62,2.6274877,0.007487774
1.37,1.3724555,0.002455473
1.12,1.1516184,0.031618357
0.12,0.11934157,-0.00065843016
-0.13,-0.13068467,-0.00068467855
-0.5,-0.49304768,0.0069523156
-1.13,-1.0900776,0.039922357
-1.43,-1.3726513,0.05734861
-1.5,-1.463209,0.036790967
-2.13,-2.135992,-0.0059919357
-2.25,-2.2810755,-0.031075478
-2.63,-2.68799,-0.057989836
-2.88,-2.9261029,-0.046102762
-3.38,-3.385287,-0.005286932
-4.25,-4.2595353,-0.009535313
-4.93,-5.0484886,-0.11848879
-5.43,-5.4997168,-0.06971693
-5.5,-5.538189,-0.038188934
-5.63,-5.6278276,0.00217247
-6.13,-6.04425,0.0857501
-6.25,-6.138296,0.11170387
-6.75,-6.72612,0.023880005
-7.38,-7.4735084,-0.09350824
-8.57,-8.575487,-0.005487442
-8.63,-8.63023,-0.00022983551
-8.75,-8.770341,-0.02034092
-9.0,-9.035778,-0.035778046
-9.38,-9.32286,0.05714035
-10.07,-10.175929,-0.105929375
-10.25,-10.448141,-0.1981411
-10.38,-10.635943,-0.2559433
-10.43,-10.713463,-0.28346252
-10.63,-10.929628,-0.29962826
-10.88,-11.13283,-0.25282955
