Input Angle,Predicted Angle,Prediction Error
10.93,11.035628,0.10562801
10.62,10.656623,0.036623
10.12,10.097656,-0.022343636
9.87,9.848075,-0.021924973
9.57,9.570958,0.0009584427
9.43,9.44973,0.019729614
9.37,9.368207,-0.0017929077
8.93,8.924041,-0.005959511
7.93,7.9322557,0.0022559166
7.62,7.616049,-0.0039510727
7.57,7.5718856,0.0018854141
6.43,6.440198,0.010198116
5.93,5.938726,0.00872612
5.75,5.737918,-0.0120821
5.37,5.368481,-0.0015187263
5.12,5.1198015,-0.00019836426
4.87,4.86775,-0.0022497177
4.43,4.4052353,-0.024764538
4.25,4.214414,-0.03558588
2.75,2.7186599,-0.031340122
2.43,2.4030042,-0.026995897
2.0,1.9923967,-0.0076032877
1.87,1.8829007,0.01290071
1.5,1.5372272,0.037227154
1.0,1.004499,0.0044989586
0.93,0.91400015,-0.015999854
0.87,0.86386937,-0.0061306357
0.43,0.42666927,-0.0033307374
-0.13,-0.13236687,-0.0023668706
-0.43,-0.4553475,-0.025347501
-0.75,-0.7753221,-0.02532208
-1.63,-1.6285535,0.0014464855
-1.75,-1.7638978,-0.013897777
-2.38,-2.3830934,-0.0030932426
-3.5,-3.5048838,-0.004883766
-3.75,-3.743714,0.006285906
-4.0,-4.00173,-0.0017299652
-4.88,-4.8910336,-0.011033535
-5.0,-4.99868,0.0013198853
-5.25,-5.2522163,-0.002216339
-5.43,-5.4484997,-0.018499851
-6.0,-5.999029,0.00097084045
-6.07,-6.060425,0.009575367
-6.25,-6.2346325,0.015367508
-6.5,-6.4842796,0.015720367
-7.5,-7.455073,0.04492712
-7.75,-7.674347,0.075653076
-7.93,-7.8592954,0.07070446
-8.0,-7.938611,0.06138897
-8.43,-8.39544,0.034560204
-9.43,-9.367349,0.062651634
-9.63,-9.530583,0.09941673
-10.13,-10.0553255,0.07467461
-10.5,-10.514559,-0.014558792
-10.57,-10.597253,-0.027253151
