Ground truth1,Ground truth2,Prediction1,Prediction2
11.25,11.75,10.489256,12.830475
11.23,11.73,10.504818,12.795897
11.0,11.5,10.539813,12.278063
10.75,11.25,10.4456835,11.743879
10.73,11.23,10.43623,11.649182
10.52,11.02,10.317299,11.213904
10.5,11.0,10.335394,11.219054
10.25,10.75,10.101231,10.766824
10.23,10.73,10.032665,10.656154
10.02,10.52,9.7923,10.379643
10.0,10.5,9.80462,10.412575
9.75,10.25,9.446284,10.106734
9.73,10.23,9.388597,10.047761
9.52,10.02,9.117653,9.966807
9.5,10.0,9.114272,9.9726305
9.25,9.75,8.7577095,9.919723
9.23,9.73,8.675781,9.881677
9.02,9.52,8.346298,9.943453
9.0,9.5,8.36978,9.961465
8.75,9.25,8.263356,9.739846
8.73,9.23,8.220356,9.660944
8.52,9.02,8.047705,9.339117
8.5,9.0,8.078579,9.353083
8.25,8.75,7.936892,9.012601
8.23,8.73,7.8654256,8.965983
8.02,8.52,7.691112,8.753429
8.0,8.5,7.693118,8.737098
7.75,8.25,7.5148025,8.557958
7.73,8.23,7.3899107,8.51569
7.52,8.02,7.356248,8.160474
7.5,8.0,7.3707294,8.145048
7.25,7.75,7.1731653,7.7502503
7.23,7.73,7.087058,7.6962137
7.02,7.52,6.861141,7.459064
7.0,7.5,6.854395,7.45045
6.75,7.25,6.486094,7.2242384
6.73,7.23,6.4070477,7.203642
6.52,7.02,6.159477,7.045712
6.5,7.0,6.165047,7.0257573
6.25,6.75,5.910193,6.810484
6.23,6.73,5.8564343,6.782005
6.02,6.52,5.703423,6.6282134
6.0,6.5,5.7303553,6.608618
5.75,6.25,5.617623,6.3625546
5.73,6.23,5.5900493,6.351058
5.52,6.02,5.4388223,6.223315
5.5,6.0,5.452893,6.2029777
5.25,5.75,5.1728864,6.1247263
5.23,5.73,5.115751,6.1281314
5.02,5.52,4.9176483,5.9138207
5.0,5.5,4.9284997,5.8865337
4.75,5.25,4.671006,5.612825
4.73,5.23,4.5862155,5.578904
4.52,5.02,4.32236,5.388586
4.5,5.0,4.305221,5.369
4.25,4.75,3.920425,5.192589
4.23,4.73,3.8635907,5.1810837
4.02,4.52,3.6831133,4.930932
4.0,4.5,3.678124,4.892043
3.75,4.25,3.5282195,4.528893
3.73,4.23,3.5020993,4.515124
3.52,4.02,3.3151038,4.279961
3.5,4.0,3.3056855,4.2552257
3.25,3.75,3.0921638,4.0118346
3.23,3.73,3.0460443,3.9871507
3.02,3.52,2.7400327,3.8278809
3.0,3.5,2.7353094,3.8093567
2.75,3.25,2.3071606,3.6418395
2.73,3.23,2.2645595,3.6365852
2.52,3.02,2.1736438,3.3857796
2.5,3.0,2.2171965,3.358926
2.25,2.75,2.1479461,3.0715249
2.23,2.73,2.1371093,3.0657866
2.02,2.52,2.0384474,2.8328974
2.0,2.5,2.0445867,2.8137276
1.75,2.25,1.7712104,2.6574163
1.73,2.23,1.7426953,2.6369822
1.52,2.02,1.4993459,2.521379
1.5,2.0,1.4783369,2.5016441
1.25,1.75,1.2489495,2.1254544
1.23,1.73,1.1927928,2.1124377
1.02,1.52,1.0222551,1.7219216
1.0,1.5,1.0361724,1.6747648
0.75,1.25,0.7188809,1.2951847
0.73,1.23,0.69004333,1.2844993
0.52,1.02,0.42651483,0.9868163
0.500000000000002,1.0,0.4387693,0.9553679
0.25,0.75,0.012466639,0.71878254
0.23,0.73,-0.06870654,0.6916448
0.0199999999999996,0.52,-0.48949888,0.46853027
-0.0,0.500000000000002,-0.498688,0.43348226
-0.25,0.25,-0.9081507,0.23367175
-0.27,0.23,-0.94500995,0.2567068
-0.48,0.0199999999999996,-0.9152577,-0.0075806677
-0.5,-0.0,-0.8833809,-0.05952254
-0.75,-0.25,-0.9122479,-0.2913598
-0.77,-0.27,-0.9442129,-0.25008956
-0.98,-0.48,-1.0628035,-0.37471142
-1.0,-0.5,-1.0618632,-0.39596358
-1.25,-0.75,-1.1348829,-0.81504357
-1.27,-0.77,-1.1469762,-0.7851354
