Ground truth1,Ground truth2,Prediction1,Prediction2
11.0,11.5,10.80016,11.741757
10.75,11.25,10.663601,11.313617
10.73,11.23,10.6683035,11.2676
10.52,11.02,10.495798,10.9612875
10.5,11.0,10.465585,10.951009
10.25,10.75,10.145608,10.684789
10.23,10.73,10.164428,10.63768
10.02,10.52,9.853066,10.499745
10.0,10.5,9.780676,10.515811
9.75,10.25,9.374823,10.383525
9.73,10.23,9.398728,10.355897
9.52,10.02,9.122376,10.263192
9.5,10.0,9.077239,10.267656
9.25,9.75,8.869985,10.097701
9.23,9.73,8.84596,10.070346
9.02,9.52,8.642756,9.951933
9.0,9.5,8.653629,9.938269
8.75,9.25,8.522312,9.583535
8.73,9.23,8.489444,9.5194645
8.52,9.02,8.347411,9.206101
8.5,9.0,8.359828,9.19296
8.25,8.75,8.142755,8.872176
8.23,8.73,8.086716,8.838944
8.02,8.52,7.8151784,8.616872
8.0,8.5,7.8030553,8.605376
7.75,8.25,7.440897,8.3990965
7.73,8.23,7.3669653,8.384568
7.52,8.02,7.307134,8.113414
7.5,8.0,7.3138685,8.095669
7.25,7.75,7.138966,7.847604
7.23,7.73,7.103405,7.825077
7.02,7.52,6.9511137,7.6261797
7.0,7.5,6.93441,7.6093745
6.75,7.25,6.7115207,7.3799043
6.73,7.23,6.65724,7.3571897
6.52,7.02,6.411211,7.154592
6.5,7.0,6.402675,7.1403184
6.25,6.75,6.109125,6.9300976
6.23,6.73,6.037693,6.8985095
6.02,6.52,5.7361073,6.686083
6.0,6.5,5.757803,6.662913
5.75,6.25,5.5251427,6.2957053
5.73,6.23,5.522029,6.2869506
5.52,6.02,5.3317227,6.09211
5.5,6.0,5.308186,6.060707
5.25,5.75,5.1078415,5.9092517
5.23,5.73,5.043586,5.914296
5.02,5.52,4.850756,5.6849732
5.0,5.5,4.8707595,5.6489935
4.75,5.25,4.5549803,5.4563355
4.73,5.23,4.5123644,5.439595
4.52,5.02,4.2805443,5.235013
4.5,5.0,4.286833,5.209124
4.25,4.75,4.0211806,4.9736953
4.23,4.73,3.9847913,4.957236
4.02,4.52,3.7752094,4.7306156
4.0,4.5,3.767361,4.71072
3.75,4.25,3.5267036,4.398051
3.73,4.23,3.490107,4.3672986
3.52,4.02,3.195373,4.0977616
3.5,4.0,3.1627455,4.073375
3.25,3.75,3.039304,3.8120148
3.23,3.73,3.024415,3.793778
3.02,3.52,2.8883092,3.572867
3.0,3.5,2.860623,3.5443974
2.75,3.25,2.728103,3.2468174
2.73,3.23,2.6911585,3.2149348
2.52,3.02,2.4908395,3.0437355
2.5,3.0,2.4880211,3.0245824
2.25,2.75,2.1036026,2.8515923
2.23,2.73,2.0745075,2.8272676
2.02,2.52,1.8047235,2.625361
2.0,2.5,1.7947766,2.6055272
1.75,2.25,1.5282353,2.3872724
1.73,2.23,1.4945685,2.3511434
1.52,2.02,1.2895969,2.131762
1.5,2.0,1.2747519,2.124392
1.25,1.75,1.0773696,1.8706764
1.23,1.73,1.0107527,1.86832
1.02,1.52,0.8869201,1.6137918
1.0,1.5,0.9093815,1.5769516
0.75,1.25,0.6056926,1.3365837
0.73,1.23,0.57008374,1.3402054
0.52,1.02,0.37064648,1.0803429
0.500000000000002,1.0,0.3635217,1.0471306
0.25,0.75,0.07189597,0.82025564
0.23,0.73,0.06962706,0.80484366
0.0199999999999996,0.52,-0.13861988,0.64009976
-0.0,0.500000000000002,-0.15568994,0.62858784
-0.25,0.25,-0.38697612,0.37156248
-0.27,0.23,-0.41325486,0.36307704
-0.48,0.0199999999999996,-0.56019473,0.075991526
-0.5,-0.0,-0.572376,0.047690168
-0.75,-0.25,-0.8266672,-0.19543086
-0.77,-0.27,-0.84217024,-0.20221256
-0.98,-0.48,-1.1124457,-0.3479147
-1.0,-0.5,-1.1503816,-0.3564378
-1.25,-0.75,-1.4074166,-0.5799709
-1.27,-0.77,-1.4085994,-0.59107184
-1.48,-0.98,-1.6844982,-0.7109203
-1.5,-1.0,-1.7175031,-0.7121448
-1.75,-1.25,-1.9801733,-0.96402085
-1.77,-1.27,-1.9885535,-0.98899615
-1.98,-1.48,-2.2007737,-1.2256678
-2.0,-1.5,-2.2083068,-1.2475109
-2.25,-1.75,-2.361304,-1.6434711
-2.27,-1.77,-2.3769221,-1.6815264
-2.48,-1.98,-2.5672781,-1.9740005
-2.5,-2.0,-2.5822263,-1.986227
-2.75,-2.25,-2.8574016,-2.2249181
-2.77,-2.27,-2.8816795,-2.262211
-2.98,-2.48,-3.164847,-2.3845541
-3.0,-2.5,-3.2048113,-2.3653853
-3.25,-2.75,-3.453773,-2.549912
-3.27,-2.77,-3.457437,-2.6260612
-3.48,-2.98,-3.6233144,-2.791448
-3.5,-3.0,-3.661543,-2.760853
-3.75,-3.25,-3.8828375,-3.1168907
-3.77,-3.27,-3.8953419,-3.219999
-3.98,-3.48,-4.145057,-3.4409926
-4.0,-3.5,-4.189785,-3.4308674
-4.25,-3.75,-4.4567304,-3.6473055
-4.27,-3.77,-4.4700937,-3.7224877
-4.48,-3.98,-4.710006,-3.8330386
-4.5,-4.0,-4.7458944,-3.8282304
-4.75,-4.25,-5.0062017,-4.0151224
-4.77,-4.27,-5.013921,-4.076051
-4.98,-4.48,-5.156918,-4.2756233
-5.0,-4.5,-5.1670604,-4.2785835
-5.25,-4.75,-5.400254,-4.47563
-5.27,-4.77,-5.431914,-4.512857
-5.48,-4.98,-5.686449,-4.616421
-5.5,-5.0,-5.7160883,-4.651991
-5.75,-5.25,-5.976139,-4.913238
-5.77,-5.27,-6.016488,-4.9507155
-5.98,-5.48,-6.3089504,-5.1380663
-6.0,-5.5,-6.3466115,-5.1876283
-6.25,-5.75,-6.595294,-5.4977436
-6.27,-5.77,-6.6163344,-5.533274
-6.48,-5.98,-6.841949,-5.736536
-6.5,-6.0,-6.878687,-5.7581906
-6.75,-6.25,-7.163725,-5.963984
-6.77,-6.27,-7.1790304,-5.9889255
-6.98,-6.48,-7.4462543,-6.1007085
-7.0,-6.5,-7.46888,-6.1295815
-7.25,-6.75,-7.532188,-6.4456625
-7.27,-6.77,-7.522896,-6.4676633
-7.48,-6.98,-7.623282,-6.718535
-7.5,-7.0,-7.6314673,-6.780802
-7.75,-7.25,-7.8574615,-7.0130773
-7.77,-7.27,-7.8667626,-7.0344243
-7.98,-7.48,-8.092465,-7.231788
-8.0,-7.5,-8.121847,-7.252275
-8.25,-7.75,-8.292978,-7.639992
-8.27,-7.77,-8.29679,-7.683907
-8.48,-7.98,-8.484678,-7.962671
-8.5,-8.0,-8.520037,-7.994969
-8.75,-8.25,-8.836297,-8.183812
-8.77,-8.27,-8.838103,-8.177921
-8.98,-8.48,-9.149656,-8.290171
-9.0,-8.5,-9.204215,-8.32718
-9.25,-8.75,-9.41493,-8.551877
-9.27,-8.77,-9.398629,-8.544676
-9.48,-8.98,-9.542602,-8.774369
-9.5,-9.0,-9.5881815,-8.789953
-9.75,-9.25,-9.826046,-9.04288
-9.77,-9.27,-9.83181,-9.076293
-9.98,-9.48,-10.089208,-9.325946
-10.0,-9.5,-10.118294,-9.341503
-10.25,-9.75,-10.287408,-9.609546
-10.27,-9.77,-10.297337,-9.655062
-10.48,-9.98,-10.526708,-9.900157
-10.5,-10.0,-10.549226,-9.925628
-10.75,-10.25,-10.692998,-10.366276
-10.77,-10.27,-10.696902,-10.411973
-10.98,-10.48,-10.950913,-10.653346
-11.0,-10.5,-10.99989,-10.686652
-11.25,-10.75,-11.436003,-10.854051
-11.27,-10.77,-11.368799,-10.8628025
-11.48,-10.98,-11.79212,-10.889331
-11.5,-11.0,-11.856475,-10.928176
