Ground truth1,Ground truth2,Prediction1,Prediction2
11.25,11.75,10.617246,12.423062
11.12,11.62,10.662076,12.219435
11.07,11.57,10.640605,12.180553
11.0,11.5,10.635355,12.03691
10.93,11.43,10.658771,11.873468
10.87,11.37,10.621346,11.765943
10.75,11.25,10.55484,11.561778
10.62,11.12,10.557772,11.3097515
10.57,11.07,10.48726,11.260492
10.5,11.0,10.423579,11.131173
10.43,10.93,10.443425,10.992544
10.37,10.87,10.366615,10.894032
10.25,10.75,10.19777,10.734552
10.12,10.62,10.127076,10.556563
10.07,10.57,10.070833,10.53067
10.0,10.5,9.933163,10.468719
9.93,10.43,9.856989,10.402302
9.87,10.37,9.776471,10.357067
9.75,10.25,9.59034,10.229423
9.62,10.12,9.4410715,10.091076
9.57,10.07,9.435703,10.070247
9.5,10.0,9.242501,10.031243
9.43,9.93,9.112356,10.000228
9.37,9.87,9.052769,9.986045
9.25,9.75,8.849617,9.969674
9.12,9.62,8.677482,9.878327
9.07,9.57,8.733348,9.789952
9.0,9.5,8.637903,9.695463
8.93,9.43,8.499953,9.620689
8.87,9.37,8.557056,9.538418
8.75,9.25,8.54074,9.402179
8.62,9.12,8.425975,9.282121
8.57,9.07,8.477198,9.226128
8.5,9.0,8.40153,9.170728
8.43,8.93,8.2013235,9.108836
8.37,8.87,8.237329,9.060108
8.25,8.75,8.180183,8.97249
8.12,8.62,7.9764023,8.918276
8.07,8.57,7.9832163,8.90991
8.0,8.5,7.865284,8.87183
7.93,8.43,7.693964,8.732478
7.87,8.37,7.711381,8.631784
7.75,8.25,7.6681247,8.419817
7.62,8.12,7.507875,8.223541
7.57,8.07,7.539865,8.149932
7.5,8.0,7.397291,8.068517
7.43,7.93,7.2645607,8.007704
7.37,7.87,7.2048497,7.944363
7.25,7.75,7.041206,7.838074
7.12,7.62,6.8469844,7.739018
7.07,7.57,6.839437,7.702865
7.0,7.5,6.6760435,7.666252
6.93,7.43,6.6005874,7.640428
6.87,7.37,6.52531,7.593073
6.75,7.25,6.300905,7.519389
6.62,7.12,6.1523085,7.426459
6.57,7.07,6.2077613,7.3377147
6.5,7.0,6.143462,7.2424884
6.43,6.93,6.171244,7.1359963
6.37,6.87,6.1663055,7.062738
6.25,6.75,6.1429143,6.9079404
6.12,6.62,6.109135,6.788449
6.07,6.57,6.144342,6.7236223
6.0,6.5,6.022609,6.6636467
5.93,6.43,5.9920473,6.588589
5.87,6.37,5.9149914,6.5235877
5.75,6.25,5.807139,6.354237
5.62,6.12,5.654351,6.21985
5.57,6.07,5.646176,6.155311
5.5,6.0,5.457317,6.1085324
5.43,5.93,5.4167414,6.0481367
5.37,5.87,5.2373533,6.023433
5.25,5.75,5.1466575,5.871798
5.12,5.62,5.0189404,5.7163773
5.07,5.57,5.049585,5.6331744
5.0,5.5,4.8766255,5.584275
4.93,5.43,4.8553348,5.5007663
4.87,5.37,4.7101593,5.4648848
4.75,5.25,4.5505056,5.355167
4.62,5.12,4.366059,5.2333374
4.57,5.07,4.398011,5.163428
4.5,5.0,4.2042046,5.1473346
4.43,4.93,4.1192026,5.0828433
4.37,4.87,3.9872773,5.065964
4.25,4.75,3.7675796,5.018478
4.12,4.62,3.5204687,4.957051
4.07,4.57,3.5638165,4.9102726
4.0,4.5,3.332824,4.8318
3.93,4.43,3.344817,4.755784
3.87,4.37,3.354452,4.7484527
3.75,4.25,3.368811,4.723305
3.62,4.12,3.3463614,4.7108397
3.57,4.07,3.4951732,4.5614285
3.5,4.0,3.3508427,4.4952135
3.43,3.93,3.380691,4.362421
3.37,3.87,3.3601065,4.2795835
3.25,3.75,3.3324234,4.086432
3.12,3.62,3.280947,3.9159288
3.07,3.57,3.3443217,3.7711418
3.0,3.5,3.1488287,3.7639055
2.93,3.43,3.0839512,3.6802807
2.87,3.37,2.9760387,3.6381333
2.75,3.25,2.79022,3.5221624
2.62,3.12,2.6390402,3.3606665
2.57,3.07,2.61755,3.2250671
2.5,3.0,2.4583175,3.209819
2.43,2.93,2.3554943,3.1243303
2.37,2.87,2.2485902,3.072617
2.25,2.75,2.039791,2.9584389
2.12,2.62,1.7918472,2.842301
2.07,2.57,1.7030752,2.7347531
2.0,2.5,1.5651324,2.7575564
1.93,2.43,1.4377353,2.6965208
1.87,2.37,1.3317184,2.6695466
1.75,2.25,1.1273127,2.6020064
1.62,2.12,0.86735326,2.490304
1.57,2.07,0.8710436,2.3220718
1.5,2.0,0.88136655,2.2899542
1.43,1.93,0.907026,2.1565974
1.37,1.87,0.9213293,2.073779
1.25,1.75,0.94245297,1.908757
1.12,1.62,0.9775825,1.7368634
1.07,1.57,0.9881738,1.5947752
1.0,1.5,0.95593685,1.5992321
0.93,1.43,0.94768625,1.4921114
0.869999999999999,1.37,0.91988677,1.4284388
0.75,1.25,0.82777125,1.3222067
0.619999999999999,1.12,0.71957225,1.221884
0.57,1.07,0.7139658,1.1370438
0.5,1.0,0.5575179,1.1800429
0.43,0.93,0.47720164,1.130409
0.369999999999999,0.869999999999999,0.3711421,1.1159835
0.25,0.75,0.13091663,1.0849943
0.119999999999999,0.619999999999999,-0.11592972,1.0567737
0.0700000000000003,0.57,-0.12923688,1.0100373
-0.0,0.5,-0.29957962,0.98397475
-0.0700000000000003,0.43,-0.294437,0.86162287
-0.130000000000001,0.369999999999999,-0.33347917,0.7585636
-0.25,0.25,-0.41150832,0.5423873
-0.380000000000001,0.119999999999999,-0.49049893,0.35056525
-0.43,0.0700000000000003,-0.43540016,0.24566264
-0.5,-0.0,-0.59633225,0.16420956
-0.57,-0.0700000000000003,-0.642354,0.09230025
-0.630000000000001,-0.130000000000001,-0.7098463,0.026665047
-0.75,-0.25,-0.84572536,-0.11515848
-0.880000000000001,-0.380000000000001,-1.0166411,-0.21290009
-0.93,-0.43,-0.99309015,-0.29179263
-1.0,-0.5,-1.1844175,-0.32831973
-1.07,-0.57,-1.2913141,-0.34957606
-1.13,-0.630000000000001,-1.3336267,-0.4176889
-1.25,-0.75,-1.3812249,-0.57940966
-1.38,-0.880000000000001,-1.4600432,-0.7086702
-1.43,-0.93,-1.4300942,-0.77840495
-1.5,-1.0,-1.5468884,-0.84631616
-1.57,-1.07,-1.6062598,-0.89279443
-1.63,-1.13,-1.6756337,-0.9476567
-1.75,-1.25,-1.8113139,-1.0527487
-1.88,-1.38,-1.9924345,-1.128168
-1.93,-1.43,-1.9970052,-1.168683
-2.0,-1.5,-2.1773844,-1.1918819
-2.07,-1.57,-2.284169,-1.2139636
-2.13,-1.63,-2.408042,-1.2344694
-2.25,-1.75,-2.642879,-1.2787726
-2.38,-1.88,-2.8976257,-1.3052953
-2.43,-1.93,-2.936152,-1.3301302
-2.5,-2.0,-3.0467439,-1.4148972
-2.57,-2.07,-3.038214,-1.543539
-2.63,-2.13,-3.0632083,-1.6694013
-2.75,-2.25,-3.0807176,-1.9037755
-2.88,-2.38,-3.0978816,-2.1446965
-2.93,-2.43,-3.055227,-2.249047
-3.0,-2.5,-3.1135945,-2.3563166
-3.07,-2.57,-3.12924,-2.4723413
-3.13,-2.63,-3.1658354,-2.560294
-3.25,-2.75,-3.211455,-2.7175074
-3.38,-2.88,-3.3294423,-2.8733332
-3.43,-2.93,-3.3276062,-2.9743283
-3.5,-3.0,-3.4192154,-2.9763665
-3.57,-3.07,-3.523273,-3.0617278
-3.63,-3.13,-3.6015022,-3.079278
-3.75,-3.25,-3.746672,-3.1309352
-3.88,-3.38,-3.9987197,-3.2060885
-3.93,-3.43,-4.084531,-3.3028822
-4.0,-3.5,-4.215784,-3.223372
-4.07,-3.57,-4.393351,-3.2887897
-4.13,-3.63,-4.449833,-3.2205675
-4.25,-3.75,-4.570649,-3.1222706
-4.38,-3.88,-4.740782,-3.0590925
-4.43,-3.93,-4.809823,-3.0903606
-4.5,-4.0,-4.8840895,-3.027555
-4.57,-4.07,-4.976953,-3.1996057
-4.63,-4.13,-5.0387206,-3.264701
-4.75,-4.25,-5.158629,-3.4114373
-4.88,-4.38,-5.292847,-3.663074
-4.93,-4.43,-5.3067627,-3.8113203
-5.0,-4.5,-5.3413057,-3.9478807
-5.07,-4.57,-5.4111485,-4.1671205
-5.13,-4.63,-5.4458866,-4.281957
-5.25,-4.75,-5.4989343,-4.519194
-5.38,-4.88,-5.625146,-4.771216
-5.43,-4.93,-5.6356597,-4.8763022
-5.5,-5.0,-5.695514,-4.9389977
-5.57,-5.07,-5.777664,-5.057999
-5.63,-5.13,-5.8310747,-5.1097655
-5.75,-5.25,-5.9166694,-5.2199492
-5.88,-5.38,-6.071003,-5.34562
-5.93,-5.43,-6.0877643,-5.421411
-6.0,-5.5,-6.1688766,-5.3952684
-6.07,-5.57,-6.2664337,-5.452227
-6.13,-5.63,-6.3493295,-5.4622297
-6.25,-5.75,-6.4736567,-5.4707394
-6.38,-5.88,-6.678937,-5.514127
-6.43,-5.93,-6.7176685,-5.588665
-6.5,-6.0,-6.8297143,-5.51351
-6.57,-6.07,-6.9620013,-5.5375314
-6.63,-6.13,-7.004232,-5.5530252
-6.75,-6.25,-6.96631,-5.7295413
-6.88,-6.38,-7.0159197,-5.91736
-6.93,-6.43,-7.001629,-6.0645356
-7.0,-6.5,-7.025408,-6.1070175
-7.07,-6.57,-7.0909367,-6.2268424
