Ground truth1,Ground truth2,Prediction1,Prediction2
11.0,11.5,10.810845,11.747428
10.93,11.43,10.8617,11.622905
10.87,11.37,10.726203,11.560972
10.75,11.25,10.646226,11.377342
10.62,11.12,10.527902,11.213407
10.57,11.07,10.506688,11.140498
10.5,11.0,10.391624,11.050908
10.43,10.93,10.426265,10.949745
10.37,10.87,10.243367,10.921454
10.25,10.75,10.106597,10.793631
10.12,10.62,9.960376,10.689511
10.07,10.57,9.931502,10.651307
10.0,10.5,9.818895,10.592957
9.93,10.43,9.81066,10.531104
9.87,10.37,9.636037,10.523217
9.75,10.25,9.505804,10.415861
9.62,10.12,9.397861,10.271063
9.57,10.07,9.385449,10.230575
9.5,10.0,9.297036,10.1507015
9.43,9.93,9.27741,10.081143
9.37,9.87,9.151492,10.030164
9.25,9.75,9.007428,9.940883
9.12,9.62,8.836859,9.833468
9.07,9.57,8.819802,9.789824
9.0,9.5,8.741405,9.705514
8.93,9.43,8.690469,9.634966
8.87,9.37,8.592762,9.531207
8.75,9.25,8.465401,9.374133
8.62,9.12,8.33781,9.163262
8.57,9.07,8.312239,9.097282
8.5,9.0,8.261608,8.997349
8.43,8.93,8.178096,8.930188
8.37,8.87,8.1247,8.853102
8.25,8.75,8.031817,8.746659
8.12,8.62,7.854548,8.665965
8.07,8.57,7.7895823,8.641399
8.0,8.5,7.7122946,8.614506
7.93,8.43,7.6140275,8.553408
7.87,8.37,7.586965,8.475787
7.75,8.25,7.513758,8.361337
7.62,8.12,7.386369,8.261564
7.57,8.07,7.3497934,8.228872
7.5,8.0,7.2837124,8.192407
7.43,7.93,7.216766,8.129075
7.37,7.87,7.178118,8.053812
7.25,7.75,7.1017804,7.886409
7.12,7.62,6.9841685,7.72672
7.07,7.57,6.9663553,7.673322
7.0,7.5,6.877529,7.602249
6.93,7.43,6.824417,7.5402136
6.87,7.37,6.7377305,7.499753
6.75,7.25,6.590267,7.423756
6.62,7.12,6.422236,7.3241715
6.57,7.07,6.3900814,7.260391
6.5,7.0,6.2584696,7.1806717
6.43,6.93,6.1995664,7.096199
6.37,6.87,6.1477714,7.02136
6.25,6.75,6.0569053,6.8506317
6.12,6.62,5.959536,6.711071
6.07,6.57,5.916677,6.646323
6.0,6.5,5.815517,6.5652723
5.93,6.43,5.749164,6.498521
5.87,6.37,5.680437,6.4507704
5.75,6.25,5.5185337,6.348383
5.62,6.12,5.411935,6.2416515
5.57,6.07,5.3532376,6.159614
5.5,6.0,5.313786,6.066761
5.43,5.93,5.259677,5.995525
5.37,5.87,5.2449474,5.936907
5.25,5.75,5.1183996,5.823902
5.12,5.62,5.021605,5.747094
5.07,5.57,4.929934,5.712632
